2026-02-03 22:48:05,732 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/sample/df/b0/__tifa_lockhart_final_fantasy_and_2_more_drawn_by_virtual_merc__sample-dfb0b3837ddb041311988b3bf8bd479f.jpg error=status 403
2026-02-03 22:48:08,583 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/2d/2a/2d2af16ecaf724b830d89fe8eec1c2e9.jpg error=status 403
2026-02-03 22:48:18,386 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/b8167e63084de79fba0a02bb365d3350/5837589+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:48:18,386 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/e142c36bdfcff2ee707f4c7cf3229ccb/5642609+-+blender+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:48:30,385 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/e959d19fd14ec7954d83f5da6efea0fe/5677074+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:48:55,390 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/aa30947539399540cad73f38388a92ea/4214819+-+Final_Fantasy_VII+Tifa_Lockhart+blender+strauzek.jpg error=
2026-02-03 22:49:24,392 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/b8167e63084de79fba0a02bb365d3350/5837589+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:49:24,393 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/e142c36bdfcff2ee707f4c7cf3229ccb/5642609+-+blender+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:49:36,375 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/e959d19fd14ec7954d83f5da6efea0fe/5677074+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:50:01,389 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/aa30947539399540cad73f38388a92ea/4214819+-+Final_Fantasy_VII+Tifa_Lockhart+blender+strauzek.jpg error=
2026-02-03 22:50:30,385 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/b8167e63084de79fba0a02bb365d3350/5837589+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:50:30,385 | WARNING | tifa_archivist.download | download failed url=https://tulip.paheal.net/_images/e142c36bdfcff2ee707f4c7cf3229ccb/5642609+-+blender+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:50:41,388 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/e959d19fd14ec7954d83f5da6efea0fe/5677074+-+Cloud_Strife+Final_Fantasy_(series)+Final_Fantasy_VII+nsfw_ria+Tifa_Lockhart.jpg error=
2026-02-03 22:51:07,388 | WARNING | tifa_archivist.download | download failed url=https://lotus.paheal.net/_images/aa30947539399540cad73f38388a92ea/4214819+-+Final_Fantasy_VII+Tifa_Lockhart+blender+strauzek.jpg error=
