2026-02-03 21:16:43,648 | WARNING | tifa_archivist.orchestrator | classification disabled; underage filtering is not enforced
2026-02-03 21:16:44,793 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+2560x1440+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-02-03 21:16:45,450 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+2560x1440+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-56442757249353255627885236012226986000&p=-1 200
2026-02-03 21:16:45,478 | INFO | tifa_archivist.search | image search category=Tifa Lockhart wallpaper 2560 x 1440 query=Tifa Lockhart Final Fantasy VII wallpaper 2560x1440 -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-02-03 21:16:45,645 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://res.allmacwallpaper.com/get/iMac-27-inch-4K-Retina-wallpapers/tifa-lockhart-final-fantasy-7-cosplay-5120x2880/24332-12.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:47,325 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://a-static.besthdwallpaper.com/tifa-lockhart-fantasy-art-final-fantasy-vii-remake-video-game-wallpaper-2560x1440-68631_51.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:47,360 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://a-static.besthdwallpaper.com/tifa-lockhart-fantasy-art-final-fantasy-vii-remake-ffvii-wallpaper-2560x1600-68750_7.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:47,466 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://images.hdqwalls.com/download/final-fantasy-vii-rebirth-aerith-gainsborough-and-tifa-lockhart-93-2560x1440.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:48,923 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://a-static.besthdwallpaper.com/tifa-lockhart-fantasy-art-final-fantasy-vii-remake-ffvii-wallpaper-1920x1080-68669_48.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:50,386 | WARNING | tifa_archivist.download | download failed url=https://images.hdqwalls.com/wallpapers/tifa-lockhart-in-final-fantasy-vii-2020-h8.jpg error=image too small
2026-02-03 21:16:51,970 | WARNING | tifa_archivist.download | download failed url=https://artfiles.alphacoders.com/133/133045.jpg error=image too small
2026-02-03 21:16:51,974 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://images.alphacoders.com/108/1081398.png reason=decode_failed_allowed mime=image/png
2026-02-03 21:16:52,001 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://artfiles.alphacoders.com/133/133045.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:52,036 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://p4.wallpaperbetter.com/wallpaper/328/759/670/final-fantasy-vii-remake-tifa-lockhart-vertical-hd-wallpaper-preview.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:52,040 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://images5.alphacoders.com/132/1323778.jpeg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:54,976 | WARNING | tifa_archivist.download | download failed url=https://images.hdqwalls.com/download/tifa-lockhart-in-final-fantasy-vii-4k-1y-2560x1440.jpg error=image too small
2026-02-03 21:16:55,751 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://static.zerochan.net/Tifa.Lockhart.full.4218321.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:55,755 | WARNING | tifa_archivist.download | download failed url=https://p4.wallpaperbetter.com/wallpaper/998/261/172/final-fantasy-final-fantasy-vii-rebirth-tifa-lockhart-video-games-video-game-girls-hd-wallpaper-preview.jpg error=image too small
2026-02-03 21:16:56,161 | WARNING | tifa_archivist.download | download failed url=https://cdna.artstation.com/p/assets/images/images/077/523/902/large/genzo1993-016-jpeg.jpg?1719668524 error=image too small
2026-02-03 21:16:56,666 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://static.zerochan.net/Tifa.Lockhart.full.2917895.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:56,997 | WARNING | tifa_archivist.download | download failed url=https://4.bp.blogspot.com/-G_J0akO_F30/XQ8e1Cf554I/AAAAAAAAHtY/fXSLWRvdXfkusN1p8VIzo87BMJVOt6YFQCKgBGAs/w2560-h1440-p-k-no-nu/tifa-lockhart-final-fantasy-7-remake-uhdpaper.com-4K-37.jpg error=image too small
2026-02-03 21:16:57,786 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://static.zerochan.net/Tifa.Lockhart.full.4089228.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:57,854 | WARNING | tifa_archivist.download | download failed url=https://moewalls.com/wp-content/uploads/2022/04/tifa-lockhart-final-fantasy-thumb.jpg error=image too small
2026-02-03 21:16:57,879 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://moewalls.com/wp-content/uploads/2022/04/tifa-lockhart-final-fantasy-thumb.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:16:58,128 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://images4.alphacoders.com/705/70586.jpg reason=decode_failed_allowed mime=image/jpeg
